route,seq,name_en,name_tc,name_sc,location_en,location_tc,location_sc,lat,lng,path
2,14,CHEUNG SHA WAN STATION,長沙灣站,长沙湾站,TONKIN STREETO/S CHEUNG SHA WAN STATION,東京街長沙灣站,东京街长沙湾站,22.335413037,114.157855169,"[[""22.335413037"",""114.157855169""],[""22.335375607"",""114.157891501""],[""22.335489821"",""114.158005716""],[""22.33717448"",""114.159547606""],[""22.337224448"",""114.159583298""],[""22.337286314"",""114.159595195""],[""22.33734818"",""114.159564263""],[""22.337400528"",""114.159509536""],[""22.33749437"",""114.159359256""]]"
2B,3,WANG YIP HOUSE,宏業樓,宏业楼,"FU MEI STO/S WANG YIP HSE, WANG TAU HOMESTATE",富美街橫頭磡宏業樓外,富美街横头磡宏业楼外,22.340528961,114.188796912,"[[""22.340528961"",""114.188796912""],[""22.34053863"",""114.188782118""],[""22.340542474"",""114.188716594""],[""22.340574596"",""114.188570257""],[""22.340576977"",""114.188401316""],[""22.340594822"",""114.188065812""],[""22.340634083"",""114.186547716""]]"
2B,14,CAMP STREET,營盤街,营盘街,UN CHAU STREETO/S HSE NO. 151,元州街門牌151號,元州街门牌151号,22.334154149,114.160755302,"[[""22.334154149"",""114.160755302""],[""22.334224676"",""114.160806135""],[""22.336490793"",""114.157894365""]]"
2D,17,LION ROCK ROAD,獅子石道,狮子石道,NGA TSIN WAI RDO/S HOUSE NO.128,衙前圍道128號,衙前围道128号,22.329044955,114.187875015,"[[""22.329044955"",""114.187875015""],[""22.328997221"",""114.187876406""],[""22.328939806"",""114.189569725""]]"
2E,18,CHI KIANG STREET,浙江街,浙江街,TO KWA WAN RDHSE NO. 70C,土瓜灣道門牌70號C,土瓜湾道门牌70号C,22.315758048,114.189056247,"[[""22.315758048"",""114.189056247""],[""22.315758001"",""114.189056002""],[""22.316338573"",""114.189602979""],[""22.317136506"",""114.190360859""]]"
2X,11,PLAYING FIELD ROAD,運動場道,运动场道,PORTLAND STREETO/S HSE NO. 379E,砵蘭街門牌379E號,砵兰街门牌379E号,22.32476795,114.167479232,"[[""22.32476795"",""114.167479232""],[""22.324771276"",""114.16757231""],[""22.325092637"",""114.167510085""],[""22.325197333"",""114.16749581""],[""22.325244921"",""114.167483911""],[""22.325299649"",""114.167462496""],[""22.325330583"",""114.167431563""],[""22.325371033"",""114.167388734""],[""22.32560898"",""114.167069885""],[""22.326301403"",""114.166179967""],[""22.326534589"",""114.165811151""],[""22.326802229"",""114.16547131""]]"
3C,5,PITT STREET YAU MA TEI,油麻地碧街,油麻地碧街,NATHAN ROADO/S HSE NO. 549,彌敦道門牌549號,弥敦道门牌549号,22.313743992,114.170363736,"[[""22.313743992"",""114.170363736""],[""22.31375634"",""114.170430749""],[""22.314618653"",""114.170262925""],[""22.315554143"",""114.170081003""],[""22.317455707"",""114.169681202""],[""22.318286138"",""114.169505122""],[""22.318464598"",""114.16947062""]]"
3C,17,DIOCESAN BOYS' SCHOOL,拔萃男書院,拔萃男书院,PRINCE EDWARD ROAD WESTO/S HSE NO. 201,太子道西門牌201號,太子道西门牌201号,22.324948814,114.174484173,"[[""22.324948814"",""114.174484173""],[""22.325017078"",""114.174478362""],[""22.324787461"",""114.173183935""],[""22.324679194"",""114.172572413""]]"
3C,10,KOWLOON TONG CLUB,九龍塘會,九龙塘会,WATERLOO RDKOWLOON TONG CLUB,窩打老道九龍塘會,窝打老道九龙塘会,22.329236094,114.178469287,"[[""22.329236094"",""114.178469287""],[""22.329821027"",""114.178539038""],[""22.329951897"",""114.178578298""],[""22.33033737"",""114.178600903""],[""22.331715078"",""114.178688943""],[""22.33184119"",""114.178674667""],[""22.332030358"",""114.178680616""]]"
3D,0,TSZ WAN SHAN (CENTRAL) B/T,慈雲山(中)總站,慈云山(中)总站,TSZ WAN SHAN (CENTRAL) B/T,慈雲山（中）巴士總站,慈云山（中）巴士总站,22.348489833,114.200357978,"[[""22.348489833"",""114.200357978""],[""22.348714103"",""114.200134987""],[""22.348738827"",""114.200092827""],[""22.348761692"",""114.20007669""],[""22.348787867"",""114.200073121""],[""22.348928254"",""114.200104054""],[""22.348978407"",""114.200115385""],[""22.349009156"",""114.200104055""],[""22.349035331"",""114.200077879""],[""22.349053309"",""114.200015708""],[""22.349079351"",""114.199858969""],[""22.349091248"",""114.199825658""],[""22.349109093"",""114.199797104""],[""22.349131699"",""114.199772119""],[""22.349155493"",""114.199763791""],[""22.349180478"",""114.199762601""],[""22.349223307"",""114.199761411""],[""22.349269708"",""114.19976855""],[""22.349861003"",""114.199988651""],[""22.350323808"",""114.200146884""],[""22.350345224"",""114.200169489""],[""22.350366639"",""114.200195663""],[""22.350383295"",""114.200237303""],[""22.350390434"",""114.200284893""],[""22.350383662"",""114.200335984""],[""22.350271733"",""114.200654294""],[""22.35019357"",""114.200876573""]]"
